"time","der(Tj)","Tj"
0.168,64.19709340049656,36.75933448253794
0.17,64.06689012699893,36.88759794794397
0.172,63.93695091951678,37.01560128147057
0.174,63.80727523348774,37.14334501956709
0.176,63.67786252434943,37.2708296986828
0.178,63.54871224753952,37.39805585526704
0.18,63.41982385849558,37.52502402576911
0.182,63.29119681265529,37.65173474663832
0.184,63.16283056545625,37.778188554324
0.186,63.03472477037471,37.90438579018731
0.188,62.90687886742791,38.03032700586816
0.19,62.77929225059199,38.15601279836173
0.192,62.65196439277983,38.28144368690242
0.194,62.52489476791526,38.40662018972875
0.196,62.39808285093302,38.53154282408341
0.198,62.27152811777875,38.65621210621323
0.2,62.14523004540895,38.78062855136925
0.202,62.01918811179108,38.9047926738066
0.204,61.89340179590349,39.02870498678461
0.206,61.76787057773543,39.15236600256674
0.208,61.64259393828706,39.27577623242063
0.21,61.51757135956942,39.39893618661804
0.212,61.39280232460451,39.52184637443493
0.214,61.26828631742517,39.64450730415138
0.216,61.1440228230752,39.76691948305162
0.218,61.02001132760925,39.8890834174241
0.22,60.89625131809294,40.01099961256135
0.222,60.77274228260273,40.1326685727601
0.224,60.64948371022604,40.25409080132121
0.226,60.52647514458626,40.37526674782205
0.228,60.40371608606485,40.4961969044377
0.23,60.2812059875526,40.61688181012634
0.232,60.15894434445551,40.73732196196442
0.234,60.03693065328248,40.85751785594184
0.236,59.91516441164548,40.9774699869619
0.238,59.79364511825952,41.09717884884132
0.24,59.67237227294258,41.21664493431023
0.242,59.55134537661568,41.33586873501219
0.244,59.43056393130286,41.45485074150416
0.246,59.31002744013116,41.57359144325655
0.248,59.18973540733064,41.69209132865313
0.25,59.06968733823437,41.81035088499117
0.252,58.94988273927848,41.92837059848127
0.254,58.83032111800205,42.04615095424749
0.256,58.7110019830472,42.16369243632733
0.258,58.59192484415908,42.28099552767168
0.26,58.47308921218586,42.39806071014483
0.262,58.35449459907871,42.5148884645245
0.264,58.2361405178918,42.63147927050186
0.266,58.1180264663376,42.74783362288122
0.268,58.00015194533456,42.86395201330863
0.27,57.88251649351987,42.9798348962734
0.272,57.7651196276618,43.09548274780792
0.274,57.64796086560804,43.21089604288126
0.276,57.5310397262857,43.32607525539912
0.278,57.41435572970132,43.44102085820388
0.28,57.29790839694085,43.55573332307458
0.282,57.18169725016972,43.67021312072686
0.284,57.0657218126327,43.78446072081312
0.286,56.94998160865409,43.89847659192228
0.288,56.83447616363753,44.01226120158004
0.29,56.71920500406615,44.12581501624866
0.292,56.60416765750247,44.23913850132709
0.294,56.48936365258844,44.35223212115095
0.296,56.37479251904547,44.4650963389925
0.298,56.26045378767435,44.57773161706066
0.3,56.14634699035533,44.69013841650097
0.302,56.03247166004807,44.80231719739568
0.304,55.9188273307917,44.91426841876364
0.306,55.80541348998776,45.02599258556645
0.308,55.69222955796749,45.13749026883679
0.31,55.57927519839775,45.24876179989701
0.312,55.46654994673973,45.35980763636507
0.314,55.35405333944357,45.47062823488474
0.316,55.24178491394817,45.58122405112573
0.318,55.12974420868129,45.69159553978363
0.32,55.01793076305957,45.8017431545799
0.322,54.90634411748847,45.91166734826189
0.324,54.79498381336227,46.02136857260289
0.326,54.68384939306416,46.13084727840198
0.328,54.57294039996611,46.24010391548422
0.33,54.46225637842895,46.34913893270051
0.332,54.35179687380242,46.45795277792761
0.334,54.24156143242497,46.56654589806826
0.336,54.13154960162403,46.674918739051
0.338,54.02176092971579,46.78307174583031
0.34,53.91219496600533,46.8910053623865
0.342,53.80285126078654,46.99872003172585
0.344,53.6937293653422,47.10621619588044
0.346,53.58482881244819,47.21349431511353
0.348,53.47614899775979,47.32055498476614
0.35,53.36768961755649,47.42739850403387
0.352,53.25945022432837,47.53402531375949
0.354,53.15143037146803,47.6404358538967
0.356,53.04362961327056,47.74663056351019
0.358,52.93604750493351,47.85260988077557
0.36,52.82868360255698,47.95837424297941
0.362,52.72153746314348,48.06392408651928
0.364,52.61460864459809,48.16925984690362
0.366,52.50789670572836,48.27438195875189
0.368,52.40140120624429,48.37929085579449
0.37,52.29512170675842,48.48398697087276
0.372,52.18905776878579,48.588470735939
0.374,52.08320895474385,48.69274258205647
0.376,51.97757482795264,48.79680293939938
0.378,51.87215495263465,48.9006522372529
0.38,51.76694889391485,49.00429090401312
0.382,51.66195621782072,49.10771936718714
0.384,51.55717649128223,49.21093805339297
0.386,51.45260928213182,49.31394738835959
0.388,51.34825410947612,49.4167478458159
0.39,51.24411058176687,49.51933981147673
0.392,51.14017827037196,49.62172370758832
0.394,51.03645674598076,49.72389995706529
0.396,50.93294558016202,49.82586898195598
0.398,50.829644345364,49.92763120344235
0.4,50.7265526149144,50.02918704183999
0.402,50.62366996302033,50.13053691659821
0.404,50.5209959647684,50.23168124629991
0.406,50.41853019612466,50.33262044866166
0.408,50.31627223393454,50.43335494053372
0.41,50.21422165592303,50.53388513789994
0.412,50.11237804069447,50.6342114558779
0.414,50.01074096773269,50.73433430871878
0.416,49.90931001740095,50.83425410980742
0.418,49.80808477094203,50.93397127166232
0.42,49.70706481047805,51.03348620593567
0.422,49.60624971901066,51.13279932341324
0.424,49.50563908042088,51.23191103401452
0.426,49.4052324794693,51.33082174679262
0.428,49.30502952188866,51.42953185014082
0.43,49.20502978242477,51.52804176297779
0.432,49.10523284490905,51.62635189527187
0.434,49.00563829798041,51.7244626522556
0.436,48.90624573116826,51.82237443828422
0.438,48.80705473489257,51.92008765683573
0.44,48.70806490046385,52.01760271051085
0.442,48.60927582008309,52.11492000103305
0.444,48.51068708684189,52.21203992924851
0.446,48.41229829472228,52.30896289512621
0.448,48.3141090385969,52.40568929775778
0.45,48.21611891422889,52.50221953535766
0.452,48.11832751827193,52.598554005263
0.454,48.02073444827021,52.69469310393367
0.456,47.92333930265848,52.79063722695231
0.458,47.82614168076198,52.88638676902428
0.46,47.72914118279654,52.98194212397766
0.462,47.63233740986846,53.07730368476331
0.464,47.5357299639746,53.17247184345477
0.466,47.43931844800235,53.26744699124839
0.468,47.34310246572963,53.36222951846318
0.47,47.24708162182488,53.45681981454094
0.472,47.15125552184707,53.5512182680462
0.474,47.05562377224572,53.64542526666619
0.476,46.96018598036088,53.73944119721092
0.478,46.86494175442309,53.83326644561314
0.48,46.76989070355346,53.92690139692829
0.482,46.67503243776361,54.02034643533458
0.484,46.58036656795574,54.11360194413295
0.486,46.48589270592248,54.2066683057471
0.488,46.39161046434708,54.29954590172343
0.49,46.29751945680329,54.3922351127311
0.492,46.20361929775539,54.48473631856201
0.494,46.10990960255819,54.57704989813076
0.496,46.01638998745704,54.66917622947473
0.498,45.92306006958778,54.76111568975403
0.5,45.82991946697685,54.85286865525148
0.502,45.73696779854116,54.94443550137269
0.504,45.64420468408817,55.03581660264594
0.506,45.5516297443159,55.12701233272229
0.508,45.45924229648983,55.21802336416465
0.51,45.36704196008532,55.30885007182848
0.512,45.27502860202542,55.39949258680814
0.514,45.18320184339126,55.48995128237722
0.516,45.09156130608739,55.58022653099821
0.518,45.00010661284178,55.67031870432241
0.52,44.90883738720581,55.76022817319001
0.522,44.81775325355421,55.84995530763009
0.524,44.72685383708519,55.93950047686052
0.526,44.63613876382035,56.02886404928808
0.528,44.54560766060465,56.11804639250842
0.53,44.4552601551065,56.207047873306
0.532,44.36509587581773,56.29586885765419
0.534,44.27511445205351,56.3845097107152
0.536,44.18531551395252,56.47297079684009
0.538,44.09569869247672,56.56125247956881
0.54,44.00626361941159,56.64935512163014
0.542,43.91700992736595,56.73727908494175
0.544,43.82793724977204,56.82502473061015
0.546,43.73904522088554,56.91259241893069
0.548,43.65033347578548,56.99998250938766
0.55,43.56180165037434,57.08719536065411
0.552,43.473449381378,57.17423133059201
0.554,43.38527630634572,57.2610907762522
0.556,43.29728206365021,57.34777405387433
0.558,43.20946629248755,57.43428151888696
0.56,43.12182863287722,57.5206135259075
0.562,43.03436872566217,57.60677042874217
0.564,42.94708621250869,57.69275258038614
0.566,42.8599807359065,57.77856033302336
0.568,42.77305193916871,57.86419403802669
0.57,42.68629946643188,57.94965404595784
0.572,42.59972296265593,58.03494070656735
0.574,42.51332207362422,58.12005436879468
0.576,42.4270964459435,58.20499538076808
0.578,42.34104572704393,58.28976408980473
0.58,42.25516956517907,58.37436084241062
0.582,42.16946760942589,58.45878598428062
0.584,42.08393950968478,58.54303986029848
0.586,41.99858491667953,58.62712281453675
0.588,41.91340333511817,58.71103533490841
0.59,41.82839409792743,58.79477807854846
0.592,41.74355726770482,58.87835098379199
0.594,41.6588924960691,58.96175439382995
0.596,41.57439943542049,59.04498865108348
0.598,41.49007773894061,59.12805409720394
0.6,41.40592706059252,59.21095107307291
0.602,41.32194705512074,59.29367991880216
0.604,41.23813737805118,59.37624097373368
0.606,41.15449768569123,59.45863457643965
0.608,41.07102763512966,59.54086106472251
0.61,40.98772688423672,59.62292077561487
0.612,40.90459509166409,59.70481404537951
0.614,40.82163191684483,59.78654120950951
0.616,40.7388370199935,59.86810260272809
0.618,40.65621006210603,59.94949855898872
0.62,40.57375070495983,60.03072941147506
0.622,40.49145861111375,60.11179549260097
0.624,40.40933344390803,60.19269713401053
0.626,40.32737486746433,60.27343466657805
0.628,40.24558254668583,60.35400842040801
0.63,40.16395614725705,60.43441872483513
0.632,40.082495335644,60.51466590842431
0.634,40.00119977909409,60.59475029897071
0.636,39.92006914563618,60.67467222349964
0.638,39.83910310408058,60.75443200826665
0.64,39.75830132401897,60.83402997875751
0.642,39.67766347582453,60.91346645968817
0.644,39.59718923065185,60.99274177500481
0.646,39.51687826043692,61.07185624788382
0.648,39.43673023789722,61.15081020073178
0.65,39.35674483653163,61.2296039551855
0.652,39.27692173062046,61.308237832112
0.654,39.19726059522547,61.38671215160848
0.656,39.11776110618982,61.46502723300239
0.658,39.03842294013815,61.54318339485136
0.66,38.95924546019756,61.62118126453994
0.662,38.88022793768471,61.69902155989536
0.664,38.80137067250961,61.77670398547573
0.666,38.7226733401811,61.85422886093786
0.668,38.64413561691761,61.93159650523951
0.67,38.565757179647,62.0088072366396
0.672,38.48753770600673,62.08586137269801
0.674,38.40947687434376,62.16275923027569
0.676,38.33157436371457,62.23950112553467
0.678,38.25382985388516,62.31608737393797
0.68,38.17624302533108,62.3925182902497
0.682,38.09881355923736,62.46879418853499
0.684,38.02154113749862,62.54491538216003
0.686,37.94442544271895,62.62088218379206
0.688,37.86746615821199,62.69669490539933
0.69,37.79066296800088,62.77235385825119
0.692,37.71401555681832,62.847859352918
0.694,37.63752361010652,62.92321169927116
0.696,37.5611868140172,62.99841120648315
0.698,37.48500485541163,63.07345818302746
0.7,37.40897742186058,63.14835293667865
0.702,37.3331042016444,63.2230957745123
0.704,37.25738488375287,63.29768700290506
0.706,37.18181915788537,63.37212692753464
0.708,37.10640671445079,63.44641585337975
0.71,37.03114724456752,63.52055408472018
0.712,36.9560404400635,63.59454192513675
0.714,36.88108599347621,63.66837967751133
0.716,36.80628359805262,63.74206764402684
0.718,36.73163294774921,63.81560612616725
0.72,36.65713373723204,63.88899542471756
0.722,36.58278566187666,63.96223583976383
0.724,36.50858841776817,64.03532767069315
0.726,36.43454170170115,64.10827121619367
0.728,36.36064521117977,64.18106677425457
0.73,36.28689864441765,64.25371464216612
0.732,36.21330147900623,64.32621533455386
0.734,36.13985325459258,64.39856930491227
0.736,36.0665539933922,64.4707765313568
0.738,35.99340339385632,64.54283731094367
0.74,35.92040115510021,64.61475194007492
0.742,35.84754697690268,64.68652071449897
0.744,35.77484055970655,64.75814392931008
0.746,35.70228160461836,64.82962187894874
0.748,35.62986981340848,64.90095485720144
0.75,35.5576048885111,64.97214315720078
0.752,35.48548653302412,65.04318707142551
